timestamp,scenario,zone,detected_occupancy,density_score,density_growth,movement_score,convergence_score,conflict_score,bottleneck_score
0,SAFE,ZONE_A,22.96,12.25,2.85,9.94,4.44,2.97,4.59
0,SAFE,ZONE_B,30.14,17.0,2.52,10.52,7.29,4.79,6.56
0,SAFE,ZONE_C,22.36,11.74,3.35,7.71,5.3,3.47,6.13
0,SAFE,ZONE_D,18.0,10.02,2.29,6.15,4.36,2.68,2.71
5,SAFE,ZONE_A,22.03,13.48,1.57,9.88,6.62,3.79,5.29
5,SAFE,ZONE_B,32.59,16.34,3.32,10.96,8.38,4.92,4.72
5,SAFE,ZONE_C,20.78,10.85,2.73,7.44,4.81,3.8,3.92
5,SAFE,ZONE_D,17.5,10.68,2.13,8.14,5.56,2.53,3.56
10,SAFE,ZONE_A,23.22,12.48,2.55,8.06,6.71,3.73,4.38
10,SAFE,ZONE_B,31.42,17.29,2.58,10.95,7.49,5.27,5.88
10,SAFE,ZONE_C,19.94,11.73,2.23,8.24,3.66,3.66,3.22
10,SAFE,ZONE_D,15.58,9.94,1.18,8.23,4.7,2.62,4.14
15,SAFE,ZONE_A,21.52,14.99,2.14,8.61,5.74,4.09,4.78
15,SAFE,ZONE_B,30.55,18.46,4.08,11.7,6.85,5.66,5.8
15,SAFE,ZONE_C,17.38,11.65,2.03,7.14,5.88,2.46,3.63
15,SAFE,ZONE_D,13.28,7.5,2.3,6.69,4.62,1.97,3.3
20,SAFE,ZONE_A,23.2,14.06,3.99,8.65,5.63,3.29,4.97
20,SAFE,ZONE_B,31.78,18.51,2.93,12.43,9.61,6.29,6.1
20,SAFE,ZONE_C,18.69,11.68,2.2,6.84,5.81,3.31,2.61
20,SAFE,ZONE_D,19.56,10.92,1.81,6.2,4.11,1.49,3.51
25,SAFE,ZONE_A,24.32,13.42,1.62,8.27,6.58,4.24,4.94
25,SAFE,ZONE_B,30.4,19.37,2.38,12.46,8.06,5.25,5.5
25,SAFE,ZONE_C,16.67,11.74,1.81,7.78,5.23,3.42,4.62
25,SAFE,ZONE_D,17.86,8.05,1.15,5.51,3.67,2.82,1.89
30,SAFE,ZONE_A,21.68,13.87,2.41,9.35,6.78,3.95,5.06
30,SAFE,ZONE_B,27.85,15.63,2.19,11.71,7.88,6.25,6.89
30,SAFE,ZONE_C,17.98,10.37,1.13,8.2,6.27,3.05,2.22
30,SAFE,ZONE_D,17.55,10.87,1.5,4.21,3.67,3.54,1.42
35,SAFE,ZONE_A,22.83,13.96,2.84,7.72,5.86,3.56,4.17
35,SAFE,ZONE_B,28.87,18.57,2.79,11.95,8.3,5.49,5.92
35,SAFE,ZONE_C,17.15,10.8,1.58,7.54,5.33,3.14,4.74
35,SAFE,ZONE_D,16.15,8.57,2.36,6.05,4.81,3.15,4.67
40,SAFE,ZONE_A,22.39,15.44,1.67,10.19,4.8,3.66,4.76
40,SAFE,ZONE_B,32.0,16.83,3.16,14.9,8.38,6.01,6.26
40,SAFE,ZONE_C,18.75,10.8,2.43,6.46,5.64,3.41,3.93
40,SAFE,ZONE_D,16.42,10.46,0.54,7.96,3.9,2.5,3.39
45,SAFE,ZONE_A,23.76,14.54,3.03,8.93,5.82,4.41,4.55
45,SAFE,ZONE_B,31.37,18.18,3.05,11.6,8.6,4.68,6.72
45,SAFE,ZONE_C,22.21,11.12,3.72,7.82,4.34,3.41,3.31
45,SAFE,ZONE_D,14.43,10.31,2.53,7.1,3.27,2.78,3.96
50,SAFE,ZONE_A,21.05,12.37,1.69,9.84,6.34,4.34,4.43
50,SAFE,ZONE_B,32.24,18.75,3.0,12.91,8.06,5.79,5.02
