epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.767,3.07184,2.02841,1.46087,0.41244,0.23586,0.18364,0.05537,2.75174,1.58868,1.39172,0.000664762,0.000664762,0.000664762
2,251.629,2.85258,1.64516,1.33241,0.4059,0.23168,0.17784,0.05355,2.72435,1.65027,1.40603,0.00130507,0.00130507,0.00130507
3,371.151,2.80114,1.62185,1.31152,0.4469,0.27082,0.22199,0.06522,2.72336,1.48046,1.37636,0.00191897,0.00191897,0.00191897
4,482.64,2.75422,1.58761,1.30094,0.4697,0.2911,0.25406,0.07924,2.59559,1.43273,1.29576,0.0018812,0.0018812,0.0018812
5,597.701,2.74794,1.56058,1.29342,0.48054,0.28024,0.24735,0.07702,2.6563,1.43571,1.29029,0.0018416,0.0018416,0.0018416
6,712.022,2.76435,1.54935,1.29436,0.51271,0.30242,0.26985,0.08285,2.56423,1.42627,1.28105,0.001802,0.001802,0.001802
7,823.477,2.70666,1.52682,1.2732,0.46182,0.28736,0.2459,0.075,2.57087,1.46204,1.29203,0.0017624,0.0017624,0.0017624
8,937.354,2.64206,1.48426,1.26704,0.54262,0.27722,0.26445,0.08619,2.57109,1.40339,1.27841,0.0017228,0.0017228,0.0017228
9,1050.76,2.67735,1.48548,1.25758,0.53215,0.30507,0.28085,0.09011,2.52629,1.3854,1.25443,0.0016832,0.0016832,0.0016832
10,1161.08,2.63048,1.46243,1.25891,0.56203,0.31219,0.29978,0.0985,2.51612,1.35009,1.26519,0.0016436,0.0016436,0.0016436
11,1278.14,2.62144,1.45496,1.25571,0.54134,0.31307,0.29077,0.09054,2.53689,1.38523,1.26136,0.001604,0.001604,0.001604
12,1399.04,2.63586,1.44646,1.2495,0.54658,0.32568,0.29991,0.08888,2.56415,1.34945,1.26654,0.0015644,0.0015644,0.0015644
13,1518.2,2.6244,1.44833,1.24018,0.5774,0.32046,0.30779,0.09425,2.55245,1.32929,1.26341,0.0015248,0.0015248,0.0015248
14,1638.15,2.61458,1.42229,1.22619,0.5764,0.32144,0.31101,0.09756,2.52617,1.31285,1.24878,0.0014852,0.0014852,0.0014852
15,1760.56,2.59749,1.40843,1.23738,0.59017,0.31949,0.31302,0.10133,2.49726,1.32128,1.23812,0.0014456,0.0014456,0.0014456
16,1881.06,2.59656,1.40395,1.23743,0.59485,0.29955,0.29684,0.09688,2.49278,1.35471,1.24863,0.001406,0.001406,0.001406
17,2014.5,2.58164,1.4054,1.23479,0.58956,0.33258,0.32234,0.10493,2.45315,1.30421,1.23344,0.0013664,0.0013664,0.0013664
18,2147.73,2.58452,1.39291,1.23027,0.59699,0.32673,0.32036,0.1026,2.45786,1.31579,1.224,0.0013268,0.0013268,0.0013268
